W             ,              77           ,             Average W     ,             dW            ,              1            ,              2            ,              3            ,              4            ,              5            ,              6            ,              7            ,              8            ,              9            ,              10           ,              11           ,              12           ,              13           ,              14           ,              15           ,              16           ,              17           ,              18           ,              19           ,              20           ,              21           ,              22           ,              23           ,              24           ,              25           ,              26           ,              27           ,              28           ,              29           ,              30           ,              31           ,              32           ,              33           ,              34           ,              35           ,              36           ,              37           ,              38           ,              39           ,              40           ,              41           ,              42           ,              43           ,              44           ,              45           ,              46           ,              47           ,              48           ,              49           ,              50           ,              51           ,              52           ,              53           ,              54           ,              55           ,              56           ,              57           ,              58           ,              59           ,              60           ,              61           ,              62           ,              63           ,              64           ,              65           ,              66           ,              67           ,              68           ,              69           ,              70           ,              71           ,              72           ,              73           ,              74           ,              75           ,              76           ,              77           ,              
0             ,             0             ,              1            ,             0             ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,                           
 0.001        ,              3.6          ,              88.7692464702463           ,             -27.4807535297537           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              50.1244368190301           ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              116.25       ,              
 24           ,              86400        ,              64.0616215852745           ,             -52.1883784147255           ,              50.0727284861357           ,              50.0727284861357           ,              50.0727284861357           ,              50.0727284861358           ,              50.2899857532577           ,              50.5640530254381           ,              50.6597170696667           ,              50.6822696208314           ,              50.6844519745371           ,              50.6822696208306           ,              50.6597170696646           ,              50.5640530254361           ,              50.2899857532575           ,              50.2900207553381           ,              50.5624191928477           ,              50.6356651016585           ,              50.5624191928474           ,              50.2900207553382           ,              50.2899857532577           ,              50.5640530254382           ,              50.6597170696666           ,              50.6822696208314           ,              50.6844519745371           ,              50.6822696208307           ,              50.6597170696646           ,              50.5640530254362           ,              50.2899857532575           ,              50.2900207553381           ,              50.5624191928478           ,              50.6356651016584           ,              50.5624191928474           ,              50.2900207553382           ,              64.6319402835293           ,              68.4856716767902           ,              69.1461561264061           ,              68.4856716767918           ,              64.6319402835252           ,              68.5166443954751           ,              74.1971427379058           ,              76.1755665032891           ,              74.1971427378991           ,              68.5166443954612           ,              69.4025811514001           ,              77.7566752957537           ,              84.3705238187322           ,              77.7566752957308           ,              69.4025811513884           ,              69.6256179363837           ,              79.9610081054259           ,              88.8686827023936           ,              79.9610081054102           ,              69.6256179363786           ,              69.6596442832498           ,              80.472985546868            ,              89.9236080073225           ,              80.472985546868            ,              69.6596442832498           ,              69.6256179363787           ,              79.9610081054111           ,              88.8686827023932           ,              79.9610081054255           ,              69.6256179363837           ,              69.4025811513883           ,              77.7566752957303           ,              84.3705238187313           ,              77.7566752957533           ,              69.4025811514              ,              68.5166443954613           ,              74.197142737899            ,              76.1755665032891           ,              74.1971427379058           ,              68.5166443954752           ,              64.6319402835251           ,              68.4856716767919           ,              69.1461561264061           ,              68.4856716767902           ,              64.6319402835293           ,              
 48           ,              172800       ,              61.3794592171737           ,             -54.8705407828263           ,              50.1001547620631           ,              50.1001547620632           ,              50.1001547620631           ,              50.1001547620632           ,              50.2167194064529           ,              50.3645265668436           ,              50.4334629934253           ,              50.4642202424081           ,              50.4727505164014           ,              50.4642202424076           ,              50.4334629934241           ,              50.3645265668425           ,              50.2167194064528           ,              50.2166947948515           ,              50.3598785131817           ,              50.4010930046605           ,              50.3598785131816           ,              50.2166947948516           ,              50.2167194064529           ,              50.3645265668436           ,              50.4334629934253           ,              50.4642202424081           ,              50.4727505164014           ,              50.4642202424076           ,              50.4334629934242           ,              50.3645265668425           ,              50.2167194064528           ,              50.2166947948515           ,              50.3598785131817           ,              50.4010930046605           ,              50.3598785131815           ,              50.2166947948516           ,              62.43328828808             ,              66.1373402048717           ,              66.8061576403206           ,              66.1373402048723           ,              62.4332882880745           ,              66.221557952909            ,              70.9832684862199           ,              71.9463714574684           ,              70.983268486214            ,              66.2215579528952           ,              67.2714542082392           ,              72.5206450356305           ,              73.64631325476             ,              72.5206450356245           ,              67.2714542082275           ,              67.6675921734899           ,              73.1492862942984           ,              74.3635585027952           ,              73.1492862942954           ,              67.6675921734851           ,              67.7733192663698           ,              73.3265924209847           ,              74.5856879030995           ,              73.3265924209847           ,              67.77331926637             ,              67.6675921734849           ,              73.1492862942954           ,              74.3635585027952           ,              73.1492862942984           ,              67.66759217349             ,              67.2714542082276           ,              72.5206450356244           ,              73.6463132547601           ,              72.5206450356304           ,              67.2714542082393           ,              66.2215579528954           ,              70.9832684862139           ,              71.9463714574683           ,              70.98326848622             ,              66.2215579529091           ,              62.4332882880746           ,              66.1373402048722           ,              66.8061576403208           ,              66.1373402048719           ,              62.4332882880798           ,              
 72           ,              259200       ,              60.3346135649517           ,             -55.9153864350483           ,              50.1093708563187           ,              50.1093708563187           ,              50.1093708563187           ,              50.1093708563187           ,              50.1903137303902           ,              50.287461796731            ,              50.3327470027595           ,              50.3539777858224           ,              50.3601313727723           ,              50.3539777858221           ,              50.3327470027588           ,              50.2874617967303           ,              50.1903137303901           ,              50.1902695548425           ,              50.283843128434            ,              50.309987764408            ,              50.2838431284339           ,              50.1902695548426           ,              50.1903137303902           ,              50.287461796731            ,              50.3327470027595           ,              50.3539777858224           ,              50.3601313727723           ,              50.3539777858221           ,              50.3327470027587           ,              50.2874617967304           ,              50.1903137303901           ,              50.1902695548425           ,              50.283843128434            ,              50.309987764408            ,              50.2838431284339           ,              50.1902695548426           ,              61.0477808538917           ,              64.6163274204132           ,              65.2673617642569           ,              64.6163274204137           ,              61.0477808538861           ,              64.7096967989324           ,              69.1606021423762           ,              70.0371688857464           ,              69.1606021423707           ,              64.7096967989186           ,              65.7468362438032           ,              70.5456496435591           ,              71.5292610609002           ,              70.5456496435537           ,              65.7468362437921           ,              66.1470923788162           ,              71.0877365202733           ,              72.1215403135572           ,              71.0877365202708           ,              66.1470923788113           ,              66.2564496348971           ,              71.2381529769578           ,              72.286313524937            ,              71.2381529769578           ,              66.2564496348972           ,              66.1470923788116           ,              71.0877365202707           ,              72.1215403135572           ,              71.0877365202734           ,              66.1470923788162           ,              65.7468362437918           ,              70.5456496435538           ,              71.5292610609003           ,              70.5456496435591           ,              65.7468362438033           ,              64.7096967989185           ,              69.1606021423706           ,              70.0371688857463           ,              69.1606021423761           ,              64.7096967989323           ,              61.0477808538861           ,              64.6163274204136           ,              65.267361764257            ,              64.6163274204132           ,              61.0477808538918           ,              
 96           ,              345600       ,              59.6009138774243           ,             -56.6490861225757           ,              50.1140574577133           ,              50.1140574577133           ,              50.1140574577132           ,              50.1140574577133           ,              50.1760001349593           ,              50.2475091704964           ,              50.2800176596769           ,              50.295074454056            ,              50.2994032502325           ,              50.2950744540557           ,              50.2800176596764           ,              50.2475091704959           ,              50.1760001349592           ,              50.175954197124            ,              50.2447974324109           ,              50.2636284974467           ,              50.2447974324108           ,              50.1759541971241           ,              50.1760001349593           ,              50.2475091704964           ,              50.2800176596769           ,              50.295074454056            ,              50.2994032502325           ,              50.2950744540557           ,              50.2800176596764           ,              50.2475091704958           ,              50.1760001349593           ,              50.175954197124            ,              50.2447974324109           ,              50.2636284974466           ,              50.2447974324109           ,              50.1759541971241           ,              60.0189217800236           ,              63.4930103149642           ,              64.1352878286328           ,              63.4930103149644           ,              60.0189217800178           ,              63.5866148718107           ,              67.8835117521119           ,              68.7283347514442           ,              67.8835117521066           ,              63.586614871797            ,              64.6050006278644           ,              69.2034748624398           ,              70.1368815711789           ,              69.2034748624348           ,              64.6050006278533           ,              64.9937651423281           ,              69.7044377151722           ,              70.6760241541118           ,              69.7044377151697           ,              64.9937651423233           ,              65.0992249625075           ,              69.8407881792285           ,              70.822631879601            ,              69.8407881792285           ,              65.0992249625077           ,              64.9937651423233           ,              69.7044377151696           ,              70.6760241541118           ,              69.7044377151722           ,              64.9937651423279           ,              64.6050006278533           ,              69.2034748624347           ,              70.1368815711788           ,              69.2034748624398           ,              64.6050006278645           ,              63.5866148717969           ,              67.8835117521066           ,              68.7283347514442           ,              67.883511752112            ,              63.5866148718104           ,              60.0189217800179           ,              63.4930103149645           ,              64.1352878286327           ,              63.4930103149639           ,              60.0189217800239           ,              
 120          ,              432000       ,              59.0380592893205           ,             -57.2119407106795           ,              50.1168454487237           ,              50.1168454487237           ,              50.1168454487237           ,              50.1168454487237           ,              50.1669315696775           ,              50.2233682031185           ,              50.2485653171935           ,              50.2600446639798           ,              50.2633104667551           ,              50.2600446639796           ,              50.2485653171931           ,              50.2233682031181           ,              50.1669315696774           ,              50.1668872419354           ,              50.2212382279208           ,              50.2359543791321           ,              50.2212382279207           ,              50.1668872419355           ,              50.1669315696775           ,              50.2233682031185           ,              50.2485653171936           ,              50.2600446639797           ,              50.2633104667551           ,              50.2600446639796           ,              50.2485653171931           ,              50.2233682031181           ,              50.1669315696774           ,              50.1668872419354           ,              50.2212382279207           ,              50.2359543791321           ,              50.2212382279207           ,              50.1668872419355           ,              59.203442077867            ,              62.6046011551309           ,              63.2438129632021           ,              62.6046011551312           ,              59.203442077861            ,              62.6974508878305           ,              66.8977910470828           ,              67.7293551351874           ,              66.8977910470775           ,              62.6974508878169           ,              63.7054419184168           ,              68.1882640394876           ,              69.1001151983694           ,              68.1882640394826           ,              63.7054419184059           ,              64.0861510984974           ,              68.6697508180298           ,              69.6148987872649           ,              68.6697508180275           ,              64.0861510984927           ,              64.1886339134301           ,              68.7991687026988           ,              69.7529713261292           ,              68.7991687026987           ,              64.1886339134302           ,              64.0861510984927           ,              68.6697508180274           ,              69.6148987872649           ,              68.6697508180298           ,              64.0861510984973           ,              63.7054419184056           ,              68.1882640394826           ,              69.1001151983694           ,              68.1882640394876           ,              63.705441918417            ,              62.6974508878169           ,              66.8977910470775           ,              67.7293551351873           ,              66.8977910470828           ,              62.6974508878303           ,              59.2034420778611           ,              62.6046011551311           ,              63.2438129632021           ,              62.604601155131            ,              59.203442077867            ,              
 144          ,              518400       ,              58.5815193162888           ,             -57.6684806837112           ,              50.1186589914637           ,              50.1186589914637           ,              50.1186589914637           ,              50.1186589914638           ,              50.1606468826978           ,              50.2072666539739           ,              50.2278716515882           ,              50.2371272520647           ,              50.2397394661762           ,              50.2371272520645           ,              50.2278716515879           ,              50.2072666539735           ,              50.1606468826978           ,              50.1606043650334           ,              50.2055138799803           ,              50.2176395759919           ,              50.2055138799803           ,              50.1606043650334           ,              50.1606468826978           ,              50.2072666539739           ,              50.2278716515882           ,              50.2371272520647           ,              50.2397394661762           ,              50.2371272520645           ,              50.2278716515879           ,              50.2072666539735           ,              50.1606468826977           ,              50.1606043650334           ,              50.2055138799803           ,              50.2176395759919           ,              50.2055138799803           ,              50.1606043650335           ,              58.5314653660126           ,              61.8705567564942           ,              62.509443569624            ,              61.8705567564943           ,              58.5314653660064           ,              61.9629654707722           ,              66.0927872974384           ,              66.9186114477002           ,              66.092787297433            ,              61.9629654707588           ,              62.9664749147099           ,              67.3697659545453           ,              68.2712316490455           ,              67.3697659545404           ,              62.9664749146987           ,              63.342654336588            ,              67.841887481787            ,              68.77420737006             ,              67.8418874817846           ,              63.3426543365833           ,              63.4433415975645           ,              67.9677837128945           ,              68.9080015556277           ,              67.9677837128944           ,              63.4433415975645           ,              63.3426543365832           ,              67.8418874817846           ,              68.7742073700599           ,              67.8418874817871           ,              63.3426543365881           ,              62.9664749146986           ,              67.3697659545403           ,              68.2712316490456           ,              67.3697659545453           ,              62.9664749147099           ,              61.9629654707587           ,              66.092787297433            ,              66.9186114477002           ,              66.0927872974383           ,              61.9629654707721           ,              58.5314653660065           ,              61.8705567564942           ,              62.509443569624            ,              61.8705567564943           ,              58.5314653660124           ,              
 168          ,              604800       ,              58.1971985046833           ,             -58.0528014953167           ,              50.1199111943631           ,              50.1199111943631           ,              50.1199111943631           ,              50.1199111943631           ,              50.156021763599            ,              50.1957678246544           ,              50.213259036379            ,              50.2210267706139           ,              50.2232069087295           ,              50.2210267706138           ,              50.2132590363787           ,              50.1957678246541           ,              50.156021763599            ,              50.1559806946604           ,              50.1942717746333           ,              50.2046291115666           ,              50.1942717746333           ,              50.1559806946604           ,              50.156021763599            ,              50.1957678246544           ,              50.213259036379            ,              50.2210267706139           ,              50.2232069087294           ,              50.2210267706138           ,              50.2132590363787           ,              50.1957678246541           ,              50.156021763599            ,              50.1559806946603           ,              50.1942717746333           ,              50.2046291115666           ,              50.1942717746333           ,              50.1559806946604           ,              57.9627945342638           ,              61.2454823808033           ,              61.8852156614801           ,              61.2454823808033           ,              57.9627945342579           ,              61.337859370895            ,              65.4107382618518           ,              66.2342321515273           ,              65.4107382618463           ,              61.3378593708817           ,              62.3402152075542           ,              66.6821187358632           ,              67.5782516831351           ,              66.6821187358583           ,              62.340215207543            ,              62.7141638817523           ,              67.1500438950623           ,              68.0756196176356           ,              67.1500438950599           ,              62.7141638817477           ,              62.8138578226107           ,              67.2741889740884           ,              68.2072596913674           ,              67.2741889740885           ,              62.8138578226107           ,              62.7141638817474           ,              67.15004389506             ,              68.0756196176356           ,              67.1500438950623           ,              62.7141638817525           ,              62.340215207543            ,              66.6821187358582           ,              67.578251683135            ,              66.6821187358633           ,              62.3402152075539           ,              61.3378593708816           ,              65.4107382618465           ,              66.2342321515273           ,              65.4107382618517           ,              61.3378593708951           ,              57.962794534258            ,              61.2454823808033           ,              61.88521566148             ,              61.2454823808036           ,              57.9627945342637           ,              
