Cl            ,              32           ,             Average Cl    ,             dCl           ,              1            ,              2            ,              3            ,              4            ,              5            ,              6            ,              7            ,              8            ,              9            ,              10           ,              11           ,              12           ,              13           ,              14           ,              15           ,              16           ,              17           ,              18           ,              19           ,              20           ,              21           ,              22           ,              23           ,              24           ,              25           ,              26           ,              27           ,              28           ,              29           ,              30           ,              31           ,              32           ,              
0             ,             0             ,              0            ,             0             ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,                           
 0.001        ,              3.6          ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              
 4            ,              14400        ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              
 8            ,              28800        ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              
 12           ,              43200        ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              
 16           ,              57600        ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              
 20           ,              72000        ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              
 24           ,              86400        ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              
 28           ,              100800       ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              
 32           ,              115200       ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              0            ,              
